year,month,TF,ZW,STE
1260,1,7.061271200230483,-0.18198446614917083,-2.336546892483682
1260,2,8.921401892595282,-0.1958340811253396,-2.1106941931284706
1260,3,9.932806371912443,-0.10766720102607119,-1.8283260452445205
1260,4,12.295933584510996,-0.0493261764170773,-1.2086205032796853
1260,5,12.452160591417044,-0.06664410703768762,-1.095855850913268
1260,6,11.149500064995012,0.015936632697755623,-0.837933422765153
1260,7,9.454635284141512,-0.1462911868900668,-0.692967444042017
1260,8,7.469314624652578,-0.09295203197197081,-0.6778154189152813
1260,9,6.259862672196448,-0.017095146085444112,-0.6461198026043347
1260,10,5.950065040198085,-0.0721530460950036,-0.64402995655713
1260,11,5.82304695533934,0.07339727864942644,-0.6096786121156953
1260,12,7.979776342429457,-0.05259892589180618,-0.4716764178944755
1261,1,7.454790071429958,-0.10763071788340974,-0.5126457545856729
1261,2,5.340834853753387,-0.1207983531851824,-0.5782775897207862
1261,3,5.396173756220817,0.027272021041766348,-0.309117942162905
1261,4,5.619045284562397,0.008385240735583957,0.1241334253829977
1261,5,5.353750140654651,0.04869279933996273,0.2512009871138707
1261,6,4.3847561981277305,-0.00502917542453371,0.2957951724327856
1261,7,1.9242733912093983,0.07005238383770272,0.3066284607352396
1261,8,1.832308781289953,0.05616293731334736,0.3688404697736464
1261,9,1.4910963506477344,0.00772856786416102,0.3234532052104142
1261,10,0.708819464920573,0.02273781682964686,0.1950906388286475
1261,11,1.4347942568120784,0.18470843527576006,0.4762903589896217
1261,12,1.033304570503474,-0.05478139590774086,0.622139504324625
1262,1,-2.864408392641041,-0.009018952018562358,0.5435977794892278
1262,2,-3.710754146434154,0.12860205090068533,0.5388053035168404
1262,3,-3.475137826260114,0.04154400315558442,0.5063117923710739
1262,4,-4.505972419274992,0.03244499756929181,0.3365057219362074
1262,5,-5.341702903378093,0.012120585103456422,0.3315551830768108
1262,6,-4.682011175942833,0.0766050510326324,0.5575309446783105
1262,7,-5.3142762404245545,-0.0343076598427464,0.5427458842063815
1262,8,-5.621583304637122,0.0918729227446402,0.0899520546853662
1262,9,-5.234516582624577,-0.015677674072500668,-0.2407135315190215
1262,10,-4.670302446451496,0.04683208005504294,-0.36691354240449
1262,11,-4.03303628675933,-0.020569548527701948,-0.5493987784130159
1262,12,-4.943466691123116,-0.14342801447755027,-0.8526860546529824
1263,1,-4.170644450588112,-0.11436671441658766,-1.146572803698867
1263,2,0.7688958196855976,-0.013124252525588718,-0.9820005939165598
1263,3,3.0650750664058384,-0.1220373450771129,-1.035007998576014
1263,4,4.525639425424528,-0.07892241241204041,-0.8897575947659581
1263,5,6.63153106348404,-0.045992708238133305,-0.6530296904777545
1263,6,7.19647301446684,-0.1303669934117567,-0.4949738486228277
1263,7,6.213444110846894,-0.07315977849395226,-0.4195624085328454
1263,8,4.907110825501667,-0.09324298659030734,-0.4928240814174129
1263,9,3.9350036620981705,0.013561950125737783,-0.5667091889079695
1263,10,3.7636726469189625,-0.061435132937206684,-0.5968362433866813
1263,11,2.866884752906337,-0.04492831987273913,-0.8233358221395409
1263,12,2.7414110634030022,-0.12616057618913015,-0.919536868859778
1264,1,2.53756394189066,-0.10955097090813498,-0.7830939069605606
1264,2,2.680292995365092,-0.09221379377506125,-0.5764513753308342
1264,3,3.084168071903136,-0.08445944515260725,-0.4492443624135034
1264,4,4.419437275865034,0.009212025938496134,-0.3098065963850258
1264,5,4.543278043228023,-0.027617212343715076,-0.1709906294422015
1264,6,3.918707032798925,0.009879244911217907,-0.1276065473587671
1264,7,2.7213199375485435,-0.019762033230269233,0.0452307328084006
1264,8,0.3711383711381048,-0.12481144568219764,-0.0859190005668624
1264,9,-1.124523410729472,-0.008707766991673974,-0.4071902895207117
1264,10,-0.7095513470643833,0.06422701909472468,-0.361232130895088
1264,11,-0.839605401839178,-0.08750608863210223,-0.4229886128407888
1264,12,-1.7152750243013222,-0.09961047801458457,-0.5668705076444644
1265,1,-2.506000211905966,-0.069246290786216,-0.7910941089457149
1265,2,1.1148840471210726,-0.008589718030510653,-0.9924556052250968
1265,3,4.0919433114120505,0.005541652368658124,-0.9218384816995318
1265,4,5.102405225904796,-0.05463813688626817,-0.6887603037051205
1265,5,3.9634017891160087,-0.07832014927364987,-0.6400250144733839
1265,6,3.640164201638456,0.0020431832020317816,-0.4477796376059623
1265,7,4.4199180814752586,-0.09379710011135929,-0.3486603160361177
1265,8,4.263913095692205,-0.005078739190618517,-0.5114881562008294
1265,9,4.105139911645352,-0.04835690718869118,-0.3964680857615419
1265,10,4.298176234137759,-0.04716000700344769,-0.2670437669985294
1265,11,3.706049360865946,-0.10160509636093713,-0.2902741747279292
